ISSN;EISSN
20970714;
15494950;
27193241;
;24217115
0364216X;14325241
1090820X;1527330X
10840761;
15926117;17242118
14301938;21944024
14348411;16180399
00011096;
00019593;1827787X
10885900;
26622041;2662205X
08861099;15523020
2399357X;23993588
00019704;23399686
15118819;25501755
00019720;17500184
26123258;26126702
17446767;
08503907;
18146627;17535921
01419536;
02562804;
23322373;
16825055;25205293
0250698X;10125019
02584913;
09744053;09744061
00020397;
00019887;15271978
18712525;18729037
15746925;
00019909;14682621
10624783;
15692094;15692108
17528631;1752864X
02630338;15729842
00019933;19372108
2156695X;21567263
07947348;
10176772;14678268
18725457;18725465
15681777;
01452258;
10213589;
23104988;23065133
16059786;
19376812;
16806905;
26662663;
17532523;17532531
00019992;
26345773;26345781
22111441;2211145X
24116955;24107972
1609073X;19962096
25231367;2663323X
14725843;14725851
16815556;
19933738;
1991637X;
16085906;17279445
;24087920
16085914;17279364
;26632187
11195096;
16845315;
17504554;17504562
22239170;22267220
15314065;
01416707;13652028
17426979;
20400705;20400713
2211419X;22114203
14367890;
;
16845358;16845374
10229272;
21564574;21533660
;2223814X
20060165;
09548890;17551609
22252002;22252010
27533115;27533123
22109730;17087384
07954778;
1814232X;18142338
03093913;
19960808;
10158618;19922647
01896725;09745998
19960816;
20712928;20712936
19948220;
10220119;17279380
26347636;26347644
11184841;21413606
18117295;24697656
20421338;20421346
;24095605
26170191;26170205
01896016;25050044
11105704;19619987
24107220;24108200
23743670;23743689
0954416X;
27098575;27100685
18168396;23057963
17442532;25165305
08560056;1821889X
;22236589
19392206;19392214
10246029;21540128
15681203;
15676951;
00020184;14692872
21522448;
00020206;15552462
01447521;
07476108;
24133183;24101516
13807412;
15627020;
00654124;
0772084X;2031356X
10129405;21907668
15709310;
00020478;
17641977;17762766
;21086796
17516447;17516455
10489959;
14654253;21564914
08852413;
24649309;2532683X
;1522936X
01619152;15744647
00020729;14682834
;23409592
;23735481
0144686X;14691779
01635158;1936606X
15681637;18729649
00020796;
10130950;2158978X
24520063;24520071
00654299;
03790363;
15787168;23404655
10474781;
00020931;
00020958;
27668541;26924560
13591789;18736335
0096140X;10982337
;19454589
03949532;
;26438909
09289917;
;21525250
;26670321
13607863;13646915
;25899589
14749718;14749726
15940667;17208319
1745509X;
13685538;14730790
;24750360
;26638851
;26901803
13825585;17444128
08928762;
23649283;2509713X
15161498;18094414
08745498;
02116642;21743347
10240845;22284893
16637852;16637909
22779760;23210281
2407814X;25279238
03031853;20780400
1724904X;18251277
13000012;
23522151;
09380337;
07424477;15206297
0738145X;
03652807;07176333
13317768;13317776
0309586X;
02697475;
00021369;18811280
;24719625
;21937532
14596067;
12390992;14573806
14619555;14619563
01681923;
;2414584X
10682805;
22286705;22286500
18395619;18395627
0139570X;18059295
01695150;15740862
00021423;
11092580;
00021458;
20831587;24495999
;16821130
;29435641
00021466;20416326
00021482;
00021490;
00021571;
2249720X;22497218
10007601;
23951435;2395146X
0253150X;09760547
0789600X;
16712927;
0308521X;18732267
01414607;
03783774;18732283
05513677;13384376
;20770472
03041131;
;20487010
05545579;18009492
0889048X;15728366
24681458;2452316X
;29497981
12499951;
01678809;
;26247402
;18041930
03276244;1668298X
01260537;
17226996;
13160354;
09195505;
00021857;
14053195;25219766
;27305066
21683565;21683573
03043746;
01674366;15729680
00021873;15882713
22855718;22860126
01209965;23573732
;22153608
02495627;12979643
;20734395
17740746;17730155
00021962;14350645
1406894X;
;26396696
13201271;14400952
1039091X;
;2576604X
23408472;23407743
01017004;21799784
10155104;18135145
07354681;
;
15518442;
14124734;24078646
00907782;
1551840X;
;18347223
;18349250
;26732688
09515666;14355655
10518266;
08966664;
09217126;
20970943;27305392
07384602;
;26666510
00011452;1533385X
00011460;
22809112;22396152
;2346030X
16959752;15789705
10344233;22044183
00011541;15475905
26621770;26621789
11663413;
02699370;14735571
09530096;
08870292;
10168974;
10907165;15733254
08873852;
09540121;13600451
10431543;
10452877;
08999546;19432755
10137785;
08935068;
10872914;15577449
08871493;
10530894;
07376006;
08892229;19318405
;17426405
20901240;20901259
11396121;16986997
10524207;
10691456;
13502840;
13842692;
;
01793098;
08563969;
1863916X;
15428117;15428125
15298663;
25902822;25902830
05695554;
13419463;18818188
14610213;
;24712086
;23751495
;23779098
;25781588
23338326;23338334
;23720352
13579657;
23720484;23720468
;24736988
;24711888
;23737972
;23278994
11107642;27355039
20904479;20904495
;21583226
10547541;
07456964;
09273379;18758339
1555385X;15542505
26340968;26340976
1073161X;
05683408;
07306784;
10796134;
1067991X;15326497
10586628;
18739318;18739326
00966665;
11786221;
13698869;
17488842;17584213
02687615;
25237047;25237055
;19443900
;24733458
15285855;
1346602X;
05683939;07187181
;20358466
;18037860
16083679;25204890
14063859;22283897
03551725;
;23987723
;29502535
23294515;23294523
21507740;21507759
21507716;21507724
;26664305
;26665778
21576998;21577005
;27730654
03640094;14754541
23815949;2381652X
13047582;2148015X
05163145;25929429
10263497;
09728600;
13785087;07797842
0002371X;
2536572X;25365738
03031896;20792883
1210955X;12133248
16419227;24510696
09425276;
0001785X;
03402541;1438938X
09431837;
01724606;
03410501;14389916
03422836;
03005704;
03024350;14389428
14372754;
03788504;
00655589;
0939267X;
0341051X;14389940
00446173;
00017868;14388820
09406646;
16146891;
03240959;
03009092;24125679
03207919;
18019064;25708775
00023957;
00023973;2589997X
07384947;
00024317;
08541272;2614171X
08544603;25023209
25278169;25278150
2085627X;25286617
18237231;22893687
27066207;26643154
08898731;23754036
10917306;
15449793;
00024538;
00024619;
10594280;
00024678;21624151
22321950;22321969
00024805;19231857
00024821;
14819988;
00951390;
03760200;
00656100;
12677167;
03115518;17520754
07418329;18736823
07350414;14643502
13586173;
08831386;
0090838X;
15357414;
21683492;21694796
;29937175
0002502X;18491251
18498582;2459542X
07347324;15444538
01456008;15300277
03949826;
00025100;
19800436;
1517106X;18070299
15651525;15533956
14273101;20832834
12123536;1212687X
1575734X;15758435
11100168;20902670
3041217X;30412188
12262617;20930860
22119264;
17263255;
00025232;
19370652;
10053867;02191733
